utc,main_version,result,rows,rung_first,rung_last,digits_end,search_s_per_rung,rows_per_chunk,n_chunks,build_conc,lean_bytes_per_rung,olean_bytes_per_rung,gen_s,chunk_build_cpu_s_per_rung,build_wall_s,build_wall_s_per_rung,peak_mem_gb,peak_mem_gb_per_proc,disk_free_gb,note
2026-09-17 05:25:17,6,VERIFIED,81,1019,1099,456,33.51,7,12,5,9519538,15499769,617,117.6,3070,37.9,66.7,13.3,983,
2026-09-17 07:02:14,7,VERIFIED,66,1100,1165,482,41.59,6,11,5,10750372,16528110,637,123.5,2777,42.1,47.6,9.5,978,
2026-09-17 08:33:54,8,VERIFIED,57,1166,1222,504,47.74,5,12,8,11838240,17466838,659,168.5,2544,44.6,56.3,7.0,972,
2026-09-17 10:01:22,9,VERIFIED,46,1223,1268,521,58.77,5,10,8,12791557,18190787,619,184.0,2224,48.4,77.2,9.6,968,
2026-09-17 11:24:04,10,VERIFIED,45,1269,1313,539,60.80,4,12,8,13654641,18934383,682,177.1,2348,52.2,49.0,6.1,963,
2026-09-17 12:48:43,11,VERIFIED,44,1314,1357,555,62.06,4,11,8,14531108,19529572,745,184.7,2432,55.3,65.9,8.2,958,
2026-09-17 14:14:53,12,VERIFIED,31,1358,1388,567,88.30,4,8,8,15273833,20103321,585,214.6,1785,57.6,64.2,8.0,955,
2026-09-17 15:30:56,13,VERIFIED,38,1389,1426,582,73.08,4,10,8,15983835,20574703,791,195.1,2320,61.0,53.5,6.7,951,
2026-09-17 16:54:51,14,VERIFIED,30,1427,1456,593,90.49,4,8,8,16701240,21093248,679,213.8,1939,64.6,55.4,6.9,949,
2026-09-17 18:12:45,15,VERIFIED,31,1457,1487,605,88.20,3,11,8,17350873,21618730,771,203.7,2379,76.8,42.0,5.2,945,
2026-09-17 19:27:24,16,VERIFIED,72,1488,1559,632,23.15,3,24,8,18478491,22355167,2906,225.4,5437,75.5,46.9,5.9,937,p4 overlapped
2026-09-17 21:57:53,17,VERIFIED,78,1560,1637,661,11.87,3,26,8,20169469,23409756,1006,251.3,4229,54.2,65.3,8.2,934,p4 overlapped
2026-09-17 23:08:23,18,VERIFIED,72,1638,1709,688,31.21,3,24,8,21934581,24521287,992,292.5,4260,59.2,59.5,7.4,930,p4 overlapped
2026-09-18 00:19:28,19,VERIFIED,78,1710,1787,717,42.16,2,39,8,23758093,25815452,1434,270.9,4837,62.0,41.9,5.2,927,p4 overlapped
2026-09-18 01:40:06,20,VERIFIED,72,1788,1859,744,36.56,2,36,8,25645739,26926813,1586,289.3,5120,71.1,35.4,4.4,923,p4 overlapped
2026-09-18 03:05:30,21,VERIFIED,78,1860,1937,772,43.25,2,39,8,27576470,27998471,1874,302.6,5679,72.8,43.1,5.4,918,p4 overlapped
2026-09-18 04:40:13,22,VERIFIED,72,1938,2009,798,51.67,2,36,8,29560848,29112793,2109,321.3,6085,84.5,56.3,7.0,913,p4 overlapped
2026-09-18 06:21:41,23,VERIFIED,78,2010,2087,826,54.98,2,39,8,31604385,30190359,2495,334.3,6736,86.4,53.2,6.7,908,p4 overlapped
2026-09-18 08:14:03,24,CORRECTNESS_STOP,72,2088,2159,853,65.68,1,72,8,33701838,,2309,149.3,4272,59.3,37.4,4.7,905,p4 lean errors=['error: P287/WideExt439.lean:27964:10: Tactic `simp` failed with a nested error:'] sorry=False bad_axioms=["WideExt439.chunk_gap: ['Classical.choice'; 'Quot.sound'; 'propext'; 'sorryAx']"] log=/home/zedgb10/p287work/phase3_build_logs/20260918_091845_Main24_chunks_try2_g0.log
